symbol,oxidation_state
H,1
H,-1
Li,1
Be,2
B,3
C,4
C,2
C,-4
N,5
N,4
N,3
N,2
N,-3
O,-2
F,-1
Na,1
Mg,2
Al,3
Si,4
Si,-4
P,5
P,3
P,-3
S,6
S,4
S,2
S,-2
Cl,7
Cl,5
Cl,3
Cl,1
Cl,-1
K,1
Ca,2
Sc,3
Ti,4
Ti,3
V,5
V,4
V,3
V,2
Cr,6
Cr,3
Cr,2
Mn,7
Mn,6
Mn,4
Mn,3
Mn,2
Fe,3
Fe,2
Co,3
Co,2
Ni,3
Ni,2
Cu,2
Cu,1
Zn,2
Ga,3
Ge,4
As,5
As,3
As,-3
Se,6
Se,4
Se,-2
Br,7
Br,5
Br,3
Br,1
Br,-1
Kr,0
Rb,1
Sr,2
Y,3
Zr,4
Nb,5
Nb,3
Mo,6
Mo,5
Mo,4
Mo,3
Mo,2
Tc,7
Ru,8
Ru,6
Ru,4
Ru,3
Ru,2
Rh,5
Rh,4
Rh,3
Rh,2
Rh,1
Pd,4
Pd,2
Ag,2
Ag,1
Cd,2
In,3
Sn,4
Sn,2
Sb,5
Sb,3
Sb,-3
Te,6
Te,4
Te,-2
I,7
I,5
I,1
I,-1
Xe,0
Cs,1
Ba,2
La,3
Ce,4
Ce,3
Pr,4
Pr,3
Nd,3
Pm,3
Sm,3
Sm,2
Eu,3
Eu,2
Gd,3
Tb,4
Tb,3
Dy,3
Ho,3
Er,3
Tm,3
Tm,2
Yb,3
Yb,2
Lu,3
Hf,4
Ta,5
W,6
W,5
W,4
W,3
W,2
W,0
Re,5
Re,4
Re,3
Re,2
Re,-1
Os,8
Os,6
Os,4
Os,3
Os,2
Os,0
Os,-2
Ir,6
Ir,4
Ir,3
Ir,2
Ir,1
Ir,0
Ir,-1
Pt,4
Pt,2
Pt,0
Au,3
Au,1
Hg,2
Hg,1
Tl,3
Tl,1
Pb,4
Pb,2
Bi,5
Bi,3
Po,6
Po,4
Po,2
At,7
At,5
At,3
At,1
At,-1
Fr,2
Ra,2
Ac,3
Th,4
Pa,5
Pa,4
U,6
U,5
U,4
U,3
Np,6
Np,5
Np,4
Np,3
Pu,6
Pu,5
Pu,4
Pu,3
Am,6
Am,5
Am,4
Am,3
Cm,4
Cm,3
Bk,4
Bk,3
Cf,4
Cf,3
Es,3
Fm,3
Md,3
No,3
No,2
Lr,3
He,0
N,1
N,-2
N,-1
Ne,0
Si,2
Ar,0
Ti,2
Ge,2
Tc,6
Tc,4
Rn,
