symbol,atomic_number,atomic_radius,atomic_volume,block,boiling_point,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,lattice_constant,lattice_structure,melting_point,name,period,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,proton_affinity,gas_basicity,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_bondi,vdw_radius_truhlar,vdw_radius_rt,vdw_radius_batsanov,vdw_radius_dreiding,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,is_radioactive,cas,atomic_radius_rahm,geochemical_class,goldschmidt_class,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,symbol,first ionization energy eV
H,1,79,14.1,s,20.28,0.0708,4.50711,0.754195,0.904,0.117,3.75,HEX,14.01,Hydrogen,1,,0.1815,110,31,32,2.2,13.61,,,217.998,6.499026705,,25,120,,110,,319.5,288.6,162,1400,108000,0.2638,120,6.51,1.008,,,FALSE,1333-74-0,154,volatile,atmophile,,78,,,105,0.00003,103,103,H,13.59843401
He,2,,31.8,s,4.216,0.147,1.38375,-19.7,0.08,,3.57,HEX,0.95,Helium,1,5.188,0.152,140,28,46,,24.59,177.8,148.5,,1.42,,,140,,,,,236.2,153,0.008,0.000007,0.442712,143,1.47,4.002602,0.000002,,FALSE,7440-59-7,134,volatile,atmophile,,122,,,112,0.00002,1,1,He,24.58738794
Li,3,155,13.1,s,1118.15,0.534,164.1125,0.618049,148,2.89,3.49,BCC,553.69,Lithium,2,3.489,84.8,182,128,133,0.98,5.392,,,159.3,1392,150,145,181,,,220,,245.1,255,20,0.18,0.105093,212,1410,6.94,,,FALSE,7439-93-2,220,alkali metal,litophile,123,155,124,,1,0.0005,12,12,Li,5.391714761
Be,4,112,5,s,3243,1.848,37.74,-2.4,309,12.21,2.29,HEX,1551,Beryllium,2,1.824,201,153,96,102,1.57,9.323,,,324,227,115,105,,153,,190,,274.5,223,2.8,0.0000056,0.144986,198,214,9.0121831,0.0000005,TRUE,FALSE,7440-41-7,219,alkaline earth metal,litophile,89,112,90,85,75,0.03,77,77,Be,9.322699
B,5,98,4.6,p,3931,2.34,20.5,0.279723,504.5,23.6,8.73,TET,2573,Boron,2,1.025,27.4,192,84,85,2.04,12.13,,,565,99.5,,85,,192,,180,402,408.3,215,10,4.44,0.184886,191,99.2,10.81,,,FALSE,7440-42-8,205,,litophile,80,98,78,73,81,0.1,86,86,B,8.298019
C,6,91,5.3,p,5100,2.25,11.3,1.262119,,,3.57,DIA,3820,Carbon,2,0.711,1.59,170,73,75,2.55,15.05,,,716.87,46.6,77,70,170,,177,170,389.83,385.1,204,200,28,0.224776,177,47.9,12.011,,,FALSE,7440-44-0,190,semi-volatile,atmophile,,86,67,60,87,0.2,95,87,C,11.260296
N,7,92,17.3,p,77.4,0.808,7.4,-1.4,,,4.039,HEX,63.29,Nitrogen,2,,0.026,155,71,71,3.04,18.13,342.2,318.7,472.44,24.2,65,65,155,,164,160,366.21,366,193,19,0.5,0.26493,166,25.7,14.007,,,FALSE,7727-37-9,179,volatile,atmophile,,53,60,54,93,0.2,100,88,N,14.53413
O,8,,14,p,90.19,1.149,5.3,1.4611135,,,6.83,CUB,54.8,Oxygen,2,,0.027,152,66,63,3.44,21.36,485.2,459.6,249.229,15.6,65,60,152,,158,155,340.46,350,182,461000,857000,0.304575,150,16.7,15.999,,,FALSE,7782-44-7,171,major,litophile,,,57,53,99,0.2,101,97,O,13.618054
F,9,,17.1,p,85.01,1.108,3.74,3.4011897,6.54,0.51,,MCL,53.53,Fluorine,2,,0.028,147,57,64,3.98,24.8,340.1,315.1,79.335,9.52,67,50,147,,146,150,347.2,336.4,171,585,1.3,0.344443,146,10.2,18.99840316,0.000000006,TRUE,FALSE,7782-41-4,163,semi-volatile,litophile,,,59,53,106,0.08,102,102,F,17.42282
Ne,10,,16.8,p,27.1,1.204,2.6611,,1.74,,4.43,FCC,48,Neon,2,1.029,,154,58,67,,28.31,198.8,174.4,,6.2,,,154,,181,,,324.3,160,0.005,0.00012,0.38439,158,6.91,20.1797,0.0006,,FALSE,7440-01-9,156,volatile,atmophile,,,96,,113,0.00003,2,2,Ne,21.56454
