symbol,"Atomic number start counting left top, left-right sequence","Periodic number start counting left bottom, left-right sequence","Periodic number start counting top right, right-left sequence","Periodic number start counting bottom right, right-left sequence",quantum number  (/),atomic weight  (10-3 kg),mass attenuation coefficient for MoKalpha (cm2 g-1),mass attenuation coefficient CrKalpha (cm2 g-1),mass attenuation coefficient for CuKalpha (cm2 g-1),mass attenuation coefficient FeKalpha (cm2 g-1),atomic electron scattering factor at 0.5 (/),electronegativity (Martynov&Batsanov) (/),electronegativity (Pauling) (/),electronegativity (Alfred-Rochow)  (/),electronegativity absolute  (/),energy ionization first (kJ mol-1),energy ionization second (kJ mol-1),energy ionization third (kJ mol-1),chemical potential Miedema (/),work function (eV),nWS1/3 Miedema (a.u.-1/3),nuclear charge effective Slater (/),charge nuclear effective (Clementi) (/),group number  (/),valence electron number (/),temperature melting  (K),temperature boiling  (K),enthalpy vaporization (kJ mol-1),enthalpy melting (kJ mol-1),enthalpy atomization (kJ mol-1),enthalpy surface Miedema (kJ mole-1),enthalpy vacancies Miedema (kJ mole-1),energy cohesive Brewer  (J mol-1),modulus compression (GPa),modulus bulk (GPa),modulus rigidity (GPa),modulus Young (GPa),Mendeleev Number,Mendeleev Number,Mendeleev Number,Mendeleev Number,Mendeleev Pettifor,Mendeleev Pettifor regular,Mendeleev chemists sequence,Mendeleev t-d start left,Mendeleev t-d start right,Mendeleev d-t start left,Mendeleev d-t start right,"Mendeleev H,Li,Na,Be,Mg as block t-d start left","Mendeleev H,Be,Mg t-d start left","Mendeleev H,Li,Na,Be,Mg t-d start left",radii pseudo-potential (Zunger) (a.u.),radii ionic (Yagoda)  (A),radii covalent (pm),radii metal (Waber) (A),distance valence electron (Schubert) (A),distance core electron (Schubert) (A),"volume atom (Villars, Daams) (10-2 nm3)",V2/3 Miedema (cm2),"atomic environment number (Villars, Daams)"
H,1,102,2,103,1,1.008,0.38,0.55,0.435,0.483,0.036,2.1,2.1,1.1,7.18,1312,0,0,5.2,0,1.5,1,1,1,1,14,20.28,0.46,0.117,218,0,0,2.3,0.002,0,0,0,92,7,97,12,103,13,2,1,97,7,103,62,92,92,1.25,0,30,0.78,1.86,1.86,1.902,1.42,12
He,2,103,1,102,1,4.003,0.21,0.81,0.383,0.569,0.058,0.05,0,0,12.3,2372.3,5250,0,0,0,0,1.7,1.69,8,8,1,4.22,0.082,0.021,0,0,0,0.01,0,0,0,0,98,1,103,6,1,1,91,98,1,103,6,98,98,98,0.2,0.04,10,0.8,1.76,1.76,1.906,0,12
Li,3,94,10,101,2,6.941,0.22,1.96,0.716,1.25,0.08,0.9,1,0.97,3.01,520.2,7298,11815,2.85,2.4,0.98,1.3,1.28,1,1,453,1620,147.7,2.93,159.4,40,40,1.63,0.116,0,4.24,4.9,1,98,6,103,12,12,8,2,98,6,102,63,1,62,1.61,0.6,123,1.562,3.06,1.75,2.162,5.53,14
Be,4,95,9,100,2,9.012,0.3,4.5,1.5,2.8,0.104,1.45,1.5,1.47,4.9,899.4,1757,14848,5.05,3.9,1.67,1.95,1.91,2,2,1550,3243,308.8,15,324.3,109,90,3.32,1.003,110,156,318,7,92,12,97,77,19,14,8,91,13,96,68,67,67,1.08,0.3,89,1.128,1.8,1.33,0.811,2.88,12
B,5,96,8,99,2,10.811,0.39,7.38,2.39,4.55,0.14,1.9,2,2.01,4.29,800.6,2427,3660,5.3,4.5,1.75,2.6,2.42,3,3,2573,3931,504.5,23.6,562.7,120,95,5.77,1.78,0,0,0,72,28,76,32,85,80,93,73,27,77,31,73,72,72,0.795,0.2,88,0.98,1.51,1.16,0.789,2.8,1
C,6,97,7,98,2,12.011,0.63,14.5,4.6,8.9,0.18,2.37,2.5,2.5,6.27,1086.4,2353,4620,6.24,4.7,1.77,3.25,3.14,4,4,3820,5100,710.9,70,716.7,0,0,7.37,5.45,0,0,0,77,23,81,27,95,85,99,78,22,82,26,78,77,77,0.64,0.15,77,0.916,1.41,1,0.882,2.2,4
N,7,98,6,97,2,14.007,0.92,23.9,7.52,14.6,0.203,2.85,3,3.07,7.3,1402.3,2856,4578,6.86,0,1.65,3.9,3.83,5,5,63,77.4,5.58,0.72,472.7,0,0,4.92,0.012,0,0,0,82,18,86,22,100,90,103,83,17,87,21,83,82,82,0.54,0.12,70,0.88,1.33,1.03,1.289,2.56,1
O,8,99,5,96,2,15.999,1.31,36.6,11.5,22.4,0.232,3.32,3.5,3.5,7.54,1313.9,3388,5300,0,0,0,4.55,4.45,6,6,55,90.19,6.82,0.444,249.2,0,0,2.6,0.011,0,0,0,97,13,91,17,101,95,105,88,12,92,16,88,87,87,0.465,0.1,66,0.89,1.2,0.85,1.736,0,1
F,9,100,4,95,2,18.998,1.8,52.4,16.4,32.1,0.252,3.78,4,4.1,10.41,1681,3374,6050,0,0,0,5.2,5.1,7,7,54,85.01,3.26,0.51,79,0,0,0.84,0.011,0,0,0,93,8,96,11,102,100,106,93,7,97,11,93,93,93,0.405,0.09,58,0.75,1.16,0.83,1.855,0,1
Ne,10,101,3,94,2,20.18,2.47,72.8,22.9,44.6,0.262,0.05,0,0,10.6,2080.6,3952,6122,0,0,0,5.85,5.76,8,8,25,27.1,1.736,0.32,0,0,0,0.02,0.01,0,0,0,99,2,102,5,2,2,90,99,2,102,5,99,99,99,0.36,0.06,20,0.7,1.1,0.79,2.221,0,12
