Formula,A_Number,B_Number,C_Number,ABC_sum_Number,ABC_mean_Number,ABC_reduce_Number,ABC_min_Number,ABC_max_Number,ABC_range_Number,A/B_Number,A/C_Number,B/C_Number,A_MendeleevNumber,B_MendeleevNumber,C_MendeleevNumber,ABC_sum_MendeleevNumber,ABC_mean_MendeleevNumber,ABC_reduce_MendeleevNumber,ABC_min_MendeleevNumber,ABC_max_MendeleevNumber,ABC_range_MendeleevNumber,A/B_MendeleevNumber,A/C_MendeleevNumber,B/C_MendeleevNumber,A_AtomicWeight,B_AtomicWeight,C_AtomicWeight,ABC_sum_AtomicWeight,ABC_mean_AtomicWeight,ABC_reduce_AtomicWeight,ABC_min_AtomicWeight,ABC_max_AtomicWeight,ABC_range_AtomicWeight,A/B_AtomicWeight,A/C_AtomicWeight,B/C_AtomicWeight,A_MeltingT,B_MeltingT,C_MeltingT,ABC_sum_MeltingT,ABC_mean_MeltingT,ABC_reduce_MeltingT,ABC_min_MeltingT,ABC_max_MeltingT,ABC_range_MeltingT,A/B_MeltingT,A/C_MeltingT,B/C_MeltingT,A_ Column,B_ Column,C_ Column,ABC_sum_ Column,ABC_mean_ Column,ABC_reduce_ Column,ABC_min_ Column,ABC_max_ Column,ABC_range_ Column,A/B_ Column,A/C_ Column,B/C_ Column,A_Row,B_Row,C_Row,ABC_sum_Row,ABC_mean_Row,ABC_reduce_Row,ABC_min_Row,ABC_max_Row,ABC_range_Row,A/B_Row,A/C_Row,B/C_Row,A_CovalentRadius,B_CovalentRadius,C_CovalentRadius,ABC_sum_CovalentRadius,ABC_mean_CovalentRadius,ABC_reduce_CovalentRadius,ABC_min_CovalentRadius,ABC_max_CovalentRadius,ABC_range_CovalentRadius,A/B_CovalentRadius,A/C_CovalentRadius,B/C_CovalentRadius,A_Electronegativity,B_Electronegativity,C_Electronegativity,ABC_sum_Electronegativity,ABC_mean_Electronegativity,ABC_reduce_Electronegativity,ABC_min_Electronegativity,ABC_max_Electronegativity,ABC_range_Electronegativity,A/B_Electronegativity,A/C_Electronegativity,B/C_Electronegativity,A_NsValence,B_NsValence,C_NsValence,ABC_sum_NsValence,ABC_mean_NsValence,ABC_reduce_NsValence,ABC_min_NsValence,ABC_max_NsValence,ABC_range_NsValence,A/B_NsValence,A/C_NsValence,B/C_NsValence,A_NpValence,B_NpValence,C_NpValence,ABC_sum_NpValence,ABC_mean_NpValence,ABC_reduce_NpValence,ABC_min_NpValence,ABC_max_NpValence,ABC_range_NpValence,A/B_NpValence,A/C_NpValence,B/C_NpValence,A_NdValence,B_NdValence,C_NdValence,ABC_sum_NdValence,ABC_mean_NdValence,ABC_reduce_NdValence,ABC_min_NdValence,ABC_max_NdValence,ABC_range_NdValence,A/B_NdValence,A/C_NdValence,B/C_NdValence,A_NfValence,B_NfValence,C_NfValence,ABC_sum_NfValence,ABC_mean_NfValence,ABC_reduce_NfValence,ABC_min_NfValence,ABC_max_NfValence,ABC_range_NfValence,A/B_NfValence,A/C_NfValence,B/C_NfValence,A_NValence,B_NValence,C_NValence,ABC_sum_NValence,ABC_mean_NValence,ABC_reduce_NValence,ABC_min_NValence,ABC_max_NValence,ABC_range_NValence,A/B_NValence,A/C_NValence,B/C_NValence,A_NsUnfilled,B_NsUnfilled,C_NsUnfilled,ABC_sum_NsUnfilled,ABC_mean_NsUnfilled,ABC_reduce_NsUnfilled,ABC_min_NsUnfilled,ABC_max_NsUnfilled,ABC_range_NsUnfilled,A/B_NsUnfilled,A/C_NsUnfilled,B/C_NsUnfilled,A_NpUnfilled,B_NpUnfilled,C_NpUnfilled,ABC_sum_NpUnfilled,ABC_mean_NpUnfilled,ABC_reduce_NpUnfilled,ABC_min_NpUnfilled,ABC_max_NpUnfilled,ABC_range_NpUnfilled,A/B_NpUnfilled,A/C_NpUnfilled,B/C_NpUnfilled,A_NdUnfilled,B_NdUnfilled,C_NdUnfilled,ABC_sum_NdUnfilled,ABC_mean_NdUnfilled,ABC_reduce_NdUnfilled,ABC_min_NdUnfilled,ABC_max_NdUnfilled,ABC_range_NdUnfilled,A/B_NdUnfilled,A/C_NdUnfilled,B/C_NdUnfilled,A_NfUnfilled,B_NfUnfilled,C_NfUnfilled,ABC_sum_NfUnfilled,ABC_mean_NfUnfilled,ABC_reduce_NfUnfilled,ABC_min_NfUnfilled,ABC_max_NfUnfilled,ABC_range_NfUnfilled,A/B_NfUnfilled,A/C_NfUnfilled,B/C_NfUnfilled,A_NUnfilled,B_NUnfilled,C_NUnfilled,ABC_sum_NUnfilled,ABC_mean_NUnfilled,ABC_reduce_NUnfilled,ABC_min_NUnfilled,ABC_max_NUnfilled,ABC_range_NUnfilled,A/B_NUnfilled,A/C_NUnfilled,B/C_NUnfilled,A_GSvolume_pa,B_GSvolume_pa,C_GSvolume_pa,ABC_sum_GSvolume_pa,ABC_mean_GSvolume_pa,ABC_reduce_GSvolume_pa,ABC_min_GSvolume_pa,ABC_max_GSvolume_pa,ABC_range_GSvolume_pa,A/B_GSvolume_pa,A/C_GSvolume_pa,B/C_GSvolume_pa,A_GSbandgap,B_GSbandgap,C_GSbandgap,ABC_sum_GSbandgap,ABC_mean_GSbandgap,ABC_reduce_GSbandgap,ABC_min_GSbandgap,ABC_max_GSbandgap,ABC_range_GSbandgap,A/B_GSbandgap,A/C_GSbandgap,B/C_GSbandgap,A_GSmagmom,B_GSmagmom,C_GSmagmom,ABC_sum_GSmagmom,ABC_mean_GSmagmom,ABC_reduce_GSmagmom,ABC_min_GSmagmom,ABC_max_GSmagmom,ABC_range_GSmagmom,A/B_GSmagmom,A/C_GSmagmom,B/C_GSmagmom,A_SpaceGroupNumber,B_SpaceGroupNumber,C_SpaceGroupNumber,ABC_sum_SpaceGroupNumber,ABC_mean_SpaceGroupNumber,ABC_reduce_SpaceGroupNumber,ABC_min_SpaceGroupNumber,ABC_max_SpaceGroupNumber,ABC_range_SpaceGroupNumber,A/B_SpaceGroupNumber,A/C_SpaceGroupNumber,B/C_SpaceGroupNumber
La0.7Sr0.3Mn0.5Cr0.5O3,51.3,24.5,24,99.8,19.96,5.39638,24,51.3,27.3,2.09388,2.1375,1.02083,11.5,50.5,261,323,64.6,8.45646,11.5,261,249.5,0.227723,0.0440613,0.193487,123.52,53.4671,47.9982,224.985,44.997,11.198,47.9982,123.52,75.5216,2.3102,2.57343,1.11394,1150.1,1849.5,164.4,3164,632.8,50.869,164.4,1849.5,1685.1,0.621844,6.99574,11.25,2.7,6.5,48,57.2,11.44,1.7044,2.7,48,45.3,0.415385,0.05625,0.135417,5.7,4,6,15.7,3.14,1.08057,4,6,2,1.425,0.95,0.666667,203.4,139,198,540.4,108.08,36.6809,139,203.4,64.4,1.46331,1.02727,0.70202,1.055,1.605,10.32,12.98,2.596,0.537167,1.055,10.32,9.265,0.657321,0.102229,0.155523,2,1.5,6,9.5,1.9,0.6,1.5,6,4.5,1.33333,0.333333,0.25,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.7,5,0,5.7,1.14,INF,0,5,5,0.14,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.7,6.5,18,27.2,5.44,1.44742,2.7,18,15.3,0.415385,0.15,0.361111,0,0.5,0,0.5,0.1,INF,0,0.5,0.5,0,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.3,5,0,11.3,2.26,INF,0,6.3,6.3,1.26,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.3,5.5,6,17.8,3.56,1.1897,5.5,6.3,0.8,1.14545,1.05,0.916667,42.0973,10.8388,27.315,80.251,16.0502,4.42781,10.8388,42.0973,31.2585,3.88394,1.54118,0.396807,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000155061,0,0.000155061,3.10E-05,INF,0,0.000155061,0.000155061,0,INF,INF,203.3,223,36,462.3,92.46,10.7832,36,223,187,0.911659,5.64722,6.19444
La0.7Sr0.3Mn0.8Cr0.2O3,51.3,24.8,24,100.1,20.02,5.41079,24,51.3,27.3,2.06855,2.1375,1.03333,11.5,51.4,261,323.9,64.78,8.48133,11.5,261,249.5,0.223735,0.0440613,0.196935,123.52,54.3497,47.9982,225.868,45.1735,11.2363,47.9982,123.52,75.5216,2.27269,2.57343,1.13233,1150.1,1651.2,164.4,2965.7,593.14,50.7015,164.4,1651.2,1486.8,0.696524,6.99574,10.0438,2.7,6.8,48,57.5,11.5,1.72435,2.7,48,45.3,0.397059,0.05625,0.141667,5.7,4,6,15.7,3.14,1.08057,4,6,2,1.425,0.95,0.666667,203.4,139,198,540.4,108.08,36.6809,139,203.4,64.4,1.46331,1.02727,0.70202,1.055,1.572,10.32,12.947,2.5894,0.533419,1.055,10.32,9.265,0.67112,0.102229,0.152326,2,1.8,6,9.8,1.96,0.642857,1.8,6,4.2,1.11111,0.333333,0.3,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.7,5,0,5.7,1.14,INF,0,5,5,0.14,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.7,6.8,18,27.5,5.5,1.46178,2.7,18,15.3,0.397059,0.15,0.377778,0,0.2,0,0.2,0.04,INF,0,0.2,0.2,0,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.3,5,0,11.3,2.26,INF,0,6.3,6.3,1.26,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.3,5.2,6,17.5,3.5,1.17504,5.2,6.3,1.1,1.21154,1.05,0.866667,42.0973,10.6281,27.315,80.0403,16.0081,4.39223,10.6281,42.0973,31.4692,3.96095,1.54118,0.389093,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000248097,0,0.000248097,4.96E-05,INF,0,0.000248097,0.000248097,0,INF,INF,203.3,219.4,36,458.7,91.74,10.7747,36,219.4,183.4,0.926618,5.64722,6.09444
La0.7Sr0.3Mn0.9Cu0.1O3,51.3,25.4,24,100.7,20.14,5.43882,24,51.3,27.3,2.01969,2.1375,1.05833,11.5,53.2,261,325.7,65.14,8.52895,11.5,261,249.5,0.216165,0.0440613,0.203831,123.52,55.7988,47.9982,227.317,45.4634,11.2969,47.9982,123.52,75.5216,2.21366,2.57343,1.16252,1150.1,1502.88,164.4,2817.38,563.475,50.5483,164.4,1502.88,1338.48,0.765266,6.99574,9.14159,2.7,7.4,48,58.1,11.62,1.76055,2.7,48,45.3,0.364865,0.05625,0.154167,5.7,4,6,15.7,3.14,1.08057,4,6,2,1.425,0.95,0.666667,203.4,138.3,198,539.7,107.94,36.6319,138.3,203.4,65.1,1.47072,1.02727,0.698485,1.055,1.585,10.32,12.96,2.592,0.534908,1.055,10.32,9.265,0.665615,0.102229,0.153585,2,1.9,6,9.9,1.98,0.655172,1.9,6,4.1,1.05263,0.333333,0.316667,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.7,5.5,0,6.2,1.24,INF,0,5.5,5.5,0.127273,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.7,7.4,18,28.1,5.62,1.48771,2.7,18,15.3,0.364865,0.15,0.411111,0,0.1,0,0.1,0.02,INF,0,0.1,0.1,0,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.3,4.5,0,10.8,2.16,INF,0,6.3,6.3,1.4,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.3,4.6,6,16.9,3.38,1.14139,4.6,6.3,1.7,1.36957,1.05,0.766667,42.0973,10.5458,27.315,79.9581,15.9916,4.37812,10.5458,42.0973,31.5514,3.99184,1.54118,0.386082,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000279109,0,0.000279109,5.58E-05,INF,0,0.000279109,0.000279109,0,INF,INF,203.3,217.8,36,457.1,91.42,10.7708,36,217.8,181.8,0.933425,5.64722,6.05
La0.75Sr0.25Mn1O3,52.25,25,24,101.25,20.25,5.43069,24,52.25,28.25,2.09,2.17708,1.04167,11.75,52,261,324.75,64.95,8.63324,11.75,261,249.25,0.225962,0.0450192,0.199234,126.084,54.938,47.9982,229.02,45.8041,11.2821,47.9982,126.084,78.0859,2.29502,2.62685,1.14459,1157.25,1519,164.4,2840.65,568.13,50.5801,164.4,1519,1354.6,0.76185,7.03923,9.23966,2.75,7,48,57.75,11.55,1.75749,2.75,48,45.25,0.392857,0.0572917,0.145833,5.75,4,6,15.75,3.15,1.08235,4,6,2,1.4375,0.958333,0.666667,204,139,198,541,108.2,36.7003,139,204,65,1.46763,1.0303,0.70202,1.0625,1.55,10.32,12.9325,2.5865,0.532755,1.0625,10.32,9.2575,0.685484,0.102955,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.75,5,0,5.75,1.15,INF,0,5,5,0.15,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.75,7,18,27.75,5.55,1.48553,2.75,18,15.25,0.392857,0.152778,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.75,5,0,11.75,2.35,INF,0,6.75,6.75,1.35,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.75,5,6,17.75,3.55,1.17904,5,6.75,1.75,1.35,1.125,0.833333,41.2306,10.4876,27.315,79.0332,15.8066,4.35854,10.4876,41.2306,30.743,3.93137,1.50945,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,201.75,217,36,454.75,90.95,10.7645,36,217,181,0.929724,5.60417,6.02778
La0.7Sr0.3Mn0.6Cr0.4O3,51.3,24.6,24,99.9,19.98,5.40121,24,51.3,27.3,2.08537,2.1375,1.025,11.5,50.8,261,323.3,64.66,8.46483,11.5,261,249.5,0.226378,0.0440613,0.194636,123.52,53.7613,47.9982,225.279,45.0559,11.2109,47.9982,123.52,75.5216,2.29756,2.57343,1.12007,1150.1,1783.4,164.4,3097.9,619.58,50.8172,164.4,1783.4,1619,0.644892,6.99574,10.8479,2.7,6.6,48,57.3,11.46,1.7112,2.7,48,45.3,0.409091,0.05625,0.1375,5.7,4,6,15.7,3.14,1.08057,4,6,2,1.425,0.95,0.666667,203.4,139,198,540.4,108.08,36.6809,139,203.4,64.4,1.46331,1.02727,0.70202,1.055,1.594,10.32,12.969,2.5938,0.535929,1.055,10.32,9.265,0.661857,0.102229,0.154457,2,1.6,6,9.6,1.92,0.615385,1.6,6,4.4,1.25,0.333333,0.266667,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.7,5,0,5.7,1.14,INF,0,5,5,0.14,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.7,6.6,18,27.3,5.46,1.45232,2.7,18,15.3,0.409091,0.15,0.366667,0,0.4,0,0.4,0.08,INF,0,0.4,0.4,0,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.3,5,0,11.3,2.26,INF,0,6.3,6.3,1.26,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.3,5.4,6,17.7,3.54,1.18495,5.4,6.3,0.9,1.16667,1.05,0.9,42.0973,10.7686,27.315,80.1808,16.0362,4.41604,10.7686,42.0973,31.3287,3.90928,1.54118,0.394236,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000186073,0,0.000186073,3.72E-05,INF,0,0.000186073,0.000186073,0,INF,INF,203.3,221.8,36,461.1,92.22,10.7804,36,221.8,185.8,0.916592,5.64722,6.16111
La0.7Sr0.25Ag0.05Mn1O3,51.75,25,24,100.75,20.15,5.42524,24,51.75,27.75,2.07,2.15625,1.04167,14.35,52,261,327.35,65.47,9.95903,14.35,261,246.65,0.275962,0.0549808,0.199234,124.532,54.938,47.9982,227.468,45.4937,11.2695,47.9982,124.532,76.534,2.26678,2.59452,1.14459,1159.35,1519,164.4,2842.75,568.549,50.5841,164.4,1519,1354.6,0.76323,7.05199,9.23966,3.15,7,48,58.15,11.63,1.91271,3.15,48,44.85,0.45,0.065625,0.145833,5.7,4,6,15.7,3.14,1.08057,4,6,2,1.425,0.95,0.666667,200.9,139,198,537.9,107.58,36.5987,139,200.9,61.9,1.44532,1.01465,0.70202,1.104,1.55,10.32,12.974,2.5948,0.54299,1.104,10.32,9.216,0.712258,0.106977,0.150194,1.95,2,6,9.95,1.99,0.661017,1.95,6,4.05,0.975,0.325,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,1.2,5,0,6.2,1.24,INF,0,5,5,0.24,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,3.15,7,18,28.15,5.63,1.59494,3.15,18,14.85,0.45,0.175,0.388889,0.05,0,0,0.05,0.01,INF,0,0.05,0.05,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.3,5,0,11.3,2.26,INF,0,6.3,6.3,1.26,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.35,5,6,17.35,3.47,1.16621,5,6.35,1.35,1.27,1.05833,0.833333,40.2022,10.4876,27.315,78.0048,15.601,4.34679,10.4876,40.2022,29.7147,3.83332,1.4718,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,203.3,217,36,456.3,91.26,10.7688,36,217,181,0.936866,5.64722,6.02778
La0.7Sr0.05Ag0.25Mn1O3,53.55,25,24,102.55,20.51,5.44442,24,53.55,29.55,2.142,2.23125,1.04167,25.75,52,261,338.75,67.75,14.3761,25.75,261,235.25,0.495192,0.098659,0.199234,128.582,54.938,47.9982,231.518,46.3036,11.3018,47.9982,128.582,80.5837,2.34049,2.67889,1.14459,1196.33,1519,164.4,2879.73,575.947,50.6524,164.4,1519,1354.6,0.787579,7.27696,9.23966,4.95,7,48,59.95,11.99,2.45473,4.95,48,43.05,0.707143,0.103125,0.145833,5.7,4,6,15.7,3.14,1.08057,4,6,2,1.425,0.95,0.666667,190.9,139,198,527.9,105.58,36.2528,139,198,59,1.37338,0.964141,0.70202,1.3,1.55,10.32,13.17,2.634,0.586479,1.3,10.32,9.02,0.83871,0.125969,0.150194,1.75,2,6,9.75,1.95,0.636364,1.75,6,4.25,0.875,0.291667,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,3.2,5,0,8.2,1.64,INF,0,5,5,0.64,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,4.95,7,18,29.95,5.99,1.95487,4.95,18,13.05,0.707143,0.275,0.388889,0.25,0,0,0.25,0.05,INF,0,0.25,0.25,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.3,5,0,11.3,2.26,INF,0,6.3,6.3,1.26,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.55,5,6,17.55,3.51,1.17278,5,6.55,1.55,1.31,1.09167,0.833333,32.6223,10.4876,27.315,70.4248,14.085,4.24026,10.4876,32.6223,22.1347,3.11056,1.1943,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,203.3,217,36,456.3,91.26,10.7688,36,217,181,0.936866,5.64722,6.02778
La0.75Ba0.1Ag0.15Mn1O3,55.4,25,24,104.4,20.88,5.46297,24,55.4,31.4,2.216,2.30833,1.04167,20.4,52,261,333.4,66.68,12.54,20.4,261,240.6,0.392308,0.0781609,0.199234,134.092,54.938,47.9982,237.028,47.4057,11.3427,47.9982,134.092,86.0938,2.44079,2.79369,1.14459,1179.99,1519,164.4,2863.39,572.678,50.6227,164.4,1519,1354.6,0.77682,7.17755,9.23966,4.1,7,48,59.1,11.82,2.22588,4.1,48,43.9,0.585714,0.0854167,0.145833,5.85,4,6,15.85,3.17,1.08585,4,6,2,1.4625,0.975,0.666667,198.5,139,198,535.5,107.1,36.5183,139,198.5,59.5,1.42806,1.00253,0.70202,1.2035,1.55,10.32,13.0735,2.6147,0.566005,1.2035,10.32,9.1165,0.776452,0.116618,0.150194,1.85,2,6,9.85,1.97,0.649123,1.85,6,4.15,0.925,0.308333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,2.25,5,0,7.25,1.45,INF,0,5,5,0.45,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,4.1,7,18,29.1,5.82,1.80693,4.1,18,13.9,0.585714,0.227778,0.388889,0.15,0,0,0.15,0.03,INF,0,0.15,0.15,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.75,5,0,11.75,2.35,INF,0,6.75,6.75,1.35,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.9,5,6,17.9,3.58,1.18353,5,6.9,1.9,1.38,1.15,0.833333,36.4816,10.4876,27.315,74.2842,14.8568,4.29938,10.4876,36.4816,25.994,3.47855,1.33559,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,202.15,217,36,455.15,91.03,10.7656,36,217,181,0.931567,5.61528,6.02778
La0.7Ca0.3Mn1O3,45.9,25,24,94.9,18.98,5.35371,24,45.9,21.9,1.836,1.9125,1.04167,11.2,52,261,324.2,64.84,8.33259,11.2,261,249.8,0.215385,0.0429119,0.199234,109.257,54.938,47.9982,212.193,42.4387,11.1287,47.9982,109.257,61.259,1.98874,2.27628,1.14459,1169.6,1519,164.4,2853,570.6,50.6035,164.4,1519,1354.6,0.76998,7.11436,9.23966,2.7,7,48,57.7,11.54,1.73693,2.7,48,45.3,0.385714,0.05625,0.145833,5.4,4,6,15.4,3.08,1.06931,4,6,2,1.35,0.9,0.666667,197.7,139,198,534.7,106.94,36.4911,139,198,59,1.4223,0.998485,0.70202,1.07,1.55,10.32,12.94,2.588,0.534634,1.07,10.32,9.25,0.690323,0.103682,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.7,5,0,5.7,1.14,INF,0,5,5,0.14,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.7,7,18,27.7,5.54,1.47082,2.7,18,15.3,0.385714,0.15,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.3,5,0,11.3,2.26,INF,0,6.3,6.3,1.26,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.3,5,6,17.3,3.46,1.16451,5,6.3,1.3,1.26,1.05,0.833333,37.1593,10.4876,27.315,74.9618,14.9924,4.30864,10.4876,37.1593,26.6717,3.54317,1.3604,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,203.3,217,36,456.3,91.26,10.7688,36,217,181,0.936866,5.64722,6.02778
La0.7Ag0.3Mn1O3,54,25,24,103,20.6,5.44904,24,54,30,2.16,2.25,1.04167,28.6,52,261,341.6,68.32,15.223,28.6,261,232.4,0.55,0.109579,0.199234,129.594,54.938,47.9982,232.531,46.5061,11.3095,47.9982,129.594,81.5961,2.35892,2.69998,1.14459,1205.58,1519,164.4,2888.98,577.796,50.6689,164.4,1519,1354.6,0.793666,7.33321,9.23966,5.4,7,48,60.4,12.08,2.56054,5.4,48,42.6,0.771429,0.1125,0.145833,5.7,4,6,15.7,3.14,1.08057,4,6,2,1.425,0.95,0.666667,188.4,139,198,525.4,105.08,36.1616,139,198,59,1.3554,0.951515,0.70202,1.349,1.55,10.32,13.219,2.6438,0.59625,1.349,10.32,8.971,0.870323,0.130717,0.150194,1.7,2,6,9.7,1.94,0.62963,1.7,6,4.3,0.85,0.283333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,3.7,5,0,8.7,1.74,INF,0,5,5,0.74,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,5.4,7,18,30.4,6.08,2.02139,5.4,18,12.6,0.771429,0.3,0.388889,0.3,0,0,0.3,0.06,INF,0,0.3,0.3,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.3,5,0,11.3,2.26,INF,0,6.3,6.3,1.26,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.6,5,6,17.6,3.52,1.17438,5,6.6,1.6,1.32,1.1,0.833333,30.7273,10.4876,27.315,68.5298,13.706,4.20654,10.4876,30.7273,20.2397,2.92987,1.12492,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,203.3,217,36,456.3,91.26,10.7688,36,217,181,0.936866,5.64722,6.02778
