Formula,Number,MendeleevNumber,AtomicWeight,MeltingT, Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber
H,1,92,1.00794,14.01,1,1,31,2.2,1,0,0,0,1,1,0,0,0,1,6.615,7.853,0,194
He,2,98,4.002602,,18,1,28,,2,0,0,0,2,0,0,0,0,0,12.305,18.098,0,225
Li,3,1,6.941,453.69,1,2,128,0.98,1,0,0,0,1,1,0,0,0,1,16.59333333,0,0,229
Be,4,67,9.012182,1560,2,2,96,1.57,2,0,0,0,2,0,0,0,0,0,7.89,0,0,194
B,5,72,10.811,2348,13,2,84,2.04,2,1,0,0,3,0,5,0,0,5,7.1725,1.524,0,166
C,6,77,12.0107,3823,14,2,76,2.55,2,2,0,0,4,0,4,0,0,4,5.64,4.496,0,194
N,7,82,14.0067,63.05,15,2,71,3.04,2,3,0,0,5,0,3,0,0,3,14.76875,6.437,0,194
O,8,87,15.9994,54.8,16,2,66,3.44,2,4,0,0,6,0,2,0,0,2,9.105,0,0,12
F,9,93,18.9984032,53.5,17,2,57,3.98,2,5,0,0,7,0,1,0,0,1,9.7075,1.97,0,15
Ne,10,99,20.1791,24.56,18,2,58,,2,6,0,0,8,0,0,0,0,0,12.64,13.088,0,225
Na,11,2,22.98976928,370.87,1,3,166,0.93,1,0,0,0,1,1,0,0,0,1,29.24333333,0,0,229
Mg,12,68,24.305,923,2,3,141,1.31,2,0,0,0,2,0,0,0,0,0,22.89,0,0,194
Al,13,73,26.9815386,933.47,13,3,121,1.61,2,1,0,0,3,0,5,0,0,5,16.48,0,0,225
Si,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,0,4,20.44,0.773,0,227
P,15,83,30.973762,317.3,15,3,107,2.19,2,3,0,0,5,0,3,0,0,3,22.5702381,1.625,0,2
S,16,88,32.065,388.36,16,3,105,2.58,2,4,0,0,6,0,2,0,0,2,25.786875,2.202,0,70
Cl,17,94,35.453,171.6,17,3,102,3.16,2,5,0,0,7,0,1,0,0,1,24.4975,2.493,0,64
Ar,18,100,39.948,83.8,18,3,106,,2,6,0,0,8,0,0,0,0,0,28.54,9.26,0,225
K,19,3,39.0983,336.53,1,4,203,0.82,1,0,0,0,1,1,0,0,0,1,73.10666667,0,0,229
Ca,20,7,40.078,1115,2,4,176,1,2,0,0,0,2,0,0,0,0,0,37.77,0,0,225
Sc,21,11,44.955912,1814,3,4,170,1.36,2,0,1,0,3,0,0,9,0,9,22.235,0,6.35E-06,194
Ti,22,43,47.867,1941,4,4,160,1.54,2,0,2,0,4,0,0,8,0,8,16.69,0,2.25E-05,194
V,23,46,50.9415,2183,5,4,153,1.63,2,0,3,0,5,0,0,7,0,7,13.01,0,0,229
Cr,24,49,51.9961,2180,6,4,139,1.66,1,0,5,0,6,1,0,5,0,6,11.19,0,0,229
Mn,25,52,54.938045,1519,7,4,139,1.55,2,0,5,0,7,0,0,5,0,5,10.48758621,0,0.000310121,217
Fe,26,55,55.845,1811,8,4,132,1.83,2,0,6,0,8,0,0,4,0,4,10.73,0,2.1106628,229
Co,27,58,58.933195,1768,9,4,126,1.88,2,0,7,0,9,0,0,3,0,3,10.245,0,1.5484712,194
Ni,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,0,2,10.32,0,0.5953947,225
Cu,29,64,63.546,1357.77,11,4,132,1.9,1,0,10,0,11,1,0,0,0,1,11.07,0,0,225
Zn,30,69,65.38,692.68,12,4,122,1.65,2,0,10,0,12,0,0,0,0,0,13.96,0,0,194
Ga,31,74,69.723,302.91,13,4,122,1.81,2,1,10,0,13,0,5,0,0,5,18.8575,0,0,64
Ge,32,79,72.64,1211.4,14,4,120,2.01,2,2,10,0,14,0,4,0,0,4,23.005,0.383,0,225
As,33,84,74.9216,1090,15,4,119,2.18,2,3,10,0,15,0,3,0,0,3,22.175,0,0,166
Se,34,89,78.96,494,16,4,120,2.55,2,4,10,0,16,0,2,0,0,2,25.92,0.799,0,14
Br,35,95,79.904,265.8,17,4,120,2.96,2,5,10,0,17,0,1,0,0,1,29.48,1.457,0,64
Kr,36,101,83.798,115.79,18,4,116,3,2,6,10,0,18,0,0,0,0,0,36.06,7.535,0,225
Rb,37,4,85.4678,312.46,1,5,220,0.82,1,0,0,0,1,1,0,0,0,1,90.7225,0,0,229
Sr,38,8,87.62,1050,2,5,195,0.95,2,0,0,0,2,0,0,0,0,0,54.23,0,0,225
Y,39,12,88.90585,1799,3,5,190,1.22,2,0,1,0,3,0,0,9,0,9,32.365,0,0,194
Zr,40,44,91.224,2128,4,5,175,1.33,2,0,2,0,4,0,0,8,0,8,23.195,0,0,194
Nb,41,47,92.90638,2750,5,5,164,1.6,1,0,4,0,5,1,0,6,0,7,18.18,0,0,229
Mo,42,50,95.96,2896,6,5,154,2.16,1,0,5,0,6,1,0,5,0,6,15.69,0,0,229
Tc,43,53,98,2430,7,5,147,1.9,2,0,5,0,7,0,0,5,0,5,14.285,0,0,194
Ru,44,56,101.07,2607,8,5,146,2.2,1,0,7,0,8,1,0,3,0,4,13.51,0,0,194
Rh,45,59,102.9055,2237,9,5,142,2.28,1,0,8,0,9,1,0,2,0,3,13.64,0,0,225
